time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-09-13T07:40:36.570Z,24.9056,-109.6985,10,5.3,mwc,,102,0.973,1.4,us,us20003j4l,2016-03-02T17:58:49.418Z,"100km SW of Topolobampo, Mexico",earthquake,3.8,1.7,,,reviewed,us,gcmt
2015-09-08T02:15:19.980Z,38.6488,-118.8064,6.2,4.4,ml,21,98.57,0.194,0.1093,nn,nn00509589,2015-12-05T01:40:35.040Z,"20km NW of Hawthorne, Nevada",earthquake,1.12,2,0.18,10,reviewed,nn,nn
2015-09-01T16:42:45.630Z,48.3073333,-119.0193333,9.737,4.25,ml,15,112,0.2156,0.08,uw,uw61073836,2015-12-01T00:36:08.040Z,"38km N of Coulee Dam, Washington",earthquake,0.39,0.66,0.18,154,reviewed,uw,uw
2015-08-17T13:49:17.320Z,37.8366667,-122.2321667,4.69,4.01,mw,270,12,0.01169,0.15,nc,nc72507396,2016-01-27T22:57:20.595Z,"1km N of Piedmont, California",earthquake,0.08,0.11,,9,reviewed,nc,nc
2015-08-14T21:25:40.600Z,36.8311,-97.8011,0.091,4.1,mwr,,43,,1.01,us,us100032ei,2015-11-19T15:36:01.428Z,"6km WNW of Medford, Oklahoma",earthquake,3.8,3.9,0.052,36,reviewed,tul,us
2015-08-13T11:31:07.857Z,41.8856,-119.622,10.3193,4.15,ml,6,104.55,0.145,0.1359,nn,nn00506331,2015-11-17T00:13:24.040Z,"68km ESE of Lakeview, Oregon",earthquake,2.8262,3.239,0.35,6,reviewed,nn,nn
2015-08-05T07:48:02.300Z,36.5979,-97.6921,6.021,4,ml,,65,,0.79,us,us10002y1u,2015-10-30T02:47:49.040Z,"23km S of Medford, Oklahoma",earthquake,3.1,6.6,,,reviewed,tul,tul
2015-07-28T01:18:27.200Z,35.9909,-97.5813,5.253,4.1,mwr,,71,,0.61,us,us200030nt,2015-12-29T12:13:29.050Z,"4km NNE of Crescent, Oklahoma",earthquake,2.9,4.6,0.049,40,reviewed,tul,us
2015-07-27T18:12:15.400Z,35.9889,-97.5717,5,4.5,mwr,,,,0.87,us,us200030gd,2016-03-31T00:19:19.898Z,"4km NNE of Crescent, Oklahoma",earthquake,2,4.3,0.037,69,reviewed,tul,us
2015-07-27T01:05:33.610Z,41.8875,-119.6226,10.72,4.55,ml,7,104.43,0.144,0.1857,nn,nn00503760,2015-10-22T20:05:02.040Z,"68km ESE of Lakeview, Oregon",earthquake,1.9182,2.416,0.33,6,reviewed,nn,nn
2015-07-25T12:54:06.990Z,34.092,-117.445,5.079,4.17,ml,195,13,0.009156,0.25,ci,ci37213455,2016-03-11T19:26:13.297Z,"1km ESE of Fontana, CA",earthquake,0.13,0.34,0.163,247,reviewed,ci,ci
2015-07-20T20:19:03.400Z,36.842,-98.2593,4.079,4.4,mwr,,97,,1.43,us,us20002yq7,2016-02-13T17:29:10.443Z,"13km NE of Cherokee, Oklahoma",earthquake,3.8,3.7,0.045,48,reviewed,tul,us
2015-07-20T06:31:32.290Z,25.4348,-109.6859,10,4.6,mb,,107,1.442,1.04,us,us20002ym9,2015-10-14T21:05:46.040Z,"66km WSW of Topolobampo, Mexico",earthquake,7.1,1.9,0.041,179,reviewed,us,us
2015-07-16T13:33:30.020Z,29.0804,-113.5584,28.34,4.3,mb,,174,2.104,1.44,us,us20002xwm,2015-10-14T21:05:36.040Z,"74km NNE of San Luis, Mexico",earthquake,6.8,8.7,0.375,2,reviewed,us,us
2015-07-16T01:52:11.994Z,41.8986,-119.6367,10.0819,4.61,ml,6,155.91,0.129,0.184,nn,nn00501944,2015-10-14T21:05:35.040Z,"66km ESE of Lakeview, Oregon",earthquake,3.653,5.8046,0.43,5,reviewed,nn,nn
2015-07-10T02:11:28.170Z,26.4797,-111.0621,10,4.1,mb,,149,1.344,1.31,us,us20002wgw,2015-10-09T20:19:10.040Z,"58km NNE of Loreto, Mexico",earthquake,6.8,1.9,0.089,34,reviewed,us,us
2015-07-06T13:56:24.910Z,27.6939,-111.6157,10,4.2,mb,,181,0.668,0.66,us,us10002ygf,2015-09-30T00:20:59.040Z,"75km WSW of Guaymas, Mexico",earthquake,5.7,2,0.305,4,reviewed,us,us
2015-07-04T16:00:03.950Z,37.8473333,-112.4656667,3.35,4.06,mw,19,62,0.295,0.29,uu,uu60116197,2015-09-30T00:20:55.040Z,"3km NW of Panguitch, Utah",earthquake,0.71,2.63,,0,reviewed,uu,uu
2015-07-04T15:42:18.100Z,44.0816667,-122.837,9.889,4.21,ml,28,41,0.12,0.23,uw,uw61037147,2016-04-01T23:35:06.836Z,"15km ENE of Springfield, Oregon",earthquake,0.28,1.32,0.217,118,reviewed,uw,uw
2015-06-20T05:10:54.900Z,35.7392,-97.3865,3,4,mwr,,,,0.64,us,us10002kf3,2015-09-01T00:53:51.040Z,"12km NE of Edmond, Oklahoma",earthquake,3.2,5.3,0.063,24,reviewed,tul,us
2015-06-17T19:17:08.700Z,36.285,-97.523,6.008,4.3,mwr,,69,,0.24,us,us10002jrl,2015-08-20T00:44:02.040Z,"21km W of Perry, Oklahoma",earthquake,0.7,7.9,0.037,71,reviewed,tul,us
2015-06-16T07:39:13.560Z,25.6565,-109.9065,10,4.3,mb,,128,1.962,0.98,us,us20002q83,2015-08-20T00:44:00.040Z,"70km WSW of Higuera de Zaragoza, Mexico",earthquake,7.2,1.9,0.052,103,reviewed,us,us
2015-06-14T18:17:09.000Z,36.286,-97.5217,6.278,4,mwr,,52,,0.85,us,us20002prt,2015-08-20T00:43:57.040Z,"20km W of Perry, Oklahoma",earthquake,2.5,6.1,0.04,59,reviewed,tul,us
2015-06-05T23:12:47.450Z,37.2648,-97.9213,2.35,4.1,mwr,,17,0.054,1,us,us20002mgp,2015-08-10T13:08:21.040Z,"9km ESE of Harper, Kansas",earthquake,3.8,3.9,0.043,53,reviewed,us,us
2015-05-26T10:17:35.820Z,40.6508333,-124.712,19.99,4.34,mw,85,215,0.2924,0.21,nc,nc72455721,2016-01-27T22:49:09.080Z,"38km WNW of Ferndale, California",earthquake,0.66,0.59,,4,reviewed,nc,nc
2015-05-23T18:44:28.360Z,37.4294,-98.9535,5,4,mwr,,15,0.737,1.21,us,us10002bup,2016-01-22T03:50:51.474Z,"30km SW of Pratt, Kansas",earthquake,2.7,1.8,0.055,32,reviewed,us,us
2015-05-22T18:47:42.980Z,37.2925,-114.6546,4.0328,5.27,ml,32,109.36,0.335,0.159,nn,nn00495477,2016-03-11T21:18:19.687Z,"37km SSW of Caliente, Nevada",earthquake,2.5866,1.8631,0.22,11,reviewed,nn,nn
2015-05-22T02:53:00.780Z,38.4316667,-122.2503333,12.83,4.09,mw,172,90,0.008049,0.19,nc,nc72453246,2016-02-26T16:22:33.988Z,"10km ENE of Yountville, California",earthquake,0.17,0.23,,5,reviewed,nc,nc
2015-05-21T03:15:29.690Z,33.1621667,-115.6425,5.74,4.1,mw,91,41,0.02677,0.26,ci,ci37166079,2016-03-12T01:00:03.623Z,"13km WNW of Calipatria, CA",earthquake,0.17,0.38,,8,reviewed,ci,ci
2015-05-14T17:41:14.670Z,29.3928,-102.558,15.8,4,mb,,133,0.969,0.86,us,us1000290e,2015-07-23T01:03:59.040Z,"84km S of Sanderson, Texas",earthquake,6.6,5.4,0.366,2,reviewed,us,us
2015-05-07T22:58:05.200Z,32.4817,-97.1006,2.54,4,mwr,,39,0.379,0.79,us,us20002dm8,2016-01-22T03:50:12.071Z,"5km N of Venus, Texas",earthquake,4.5,5,0.05,39,reviewed,us,us
2015-05-02T16:23:07.580Z,42.2357,-85.4285,4.48,4.2,mwr,,17,0.682,0.79,us,us20002avh,2016-03-05T04:23:36.536Z,"5km S of Galesburg, Michigan",earthquake,3.8,4.3,0.028,124,reviewed,us,us
2015-04-27T22:22:17.900Z,35.918,-97.3256,5.279,4.1,mwr,,,,1.22,us,us200029pp,2016-01-22T03:49:32.794Z,"7km WSW of Langston, Oklahoma",earthquake,5,5.6,0.037,71,reviewed,tul,us
2015-04-19T05:27:14.800Z,35.953,-97.3318,3.16,4.2,mwr,,19,0.185,0.61,us,us200027lp,2016-01-22T03:06:44.829Z,"6km W of Langston, Oklahoma",earthquake,2.7,5.5,0.039,63,reviewed,us,us
2015-04-08T20:52:00.500Z,35.8192,-97.4191,2.487,4,mwr,,62,,0.96,us,us2000255v,2016-01-22T03:48:57.154Z,"6km S of Guthrie, Oklahoma",earthquake,4.3,5.9,0.043,51,reviewed,tul,us
2015-04-08T19:30:28.070Z,32.4111667,-115.2448333,5.951,4.03,ml,28,109,0.05156,0.47,ci,ci37359312,2016-03-11T04:36:04.433Z,"8km NW of Delta, B.C., MX",earthquake,0.72,31.61,0.109,133,reviewed,ci,ci
2015-04-08T19:23:15.390Z,32.376,-115.2085,7.281,4.27,mw,26,117,0.09244,0.51,ci,ci37359304,2016-03-12T02:48:09.980Z,"3km NNW of Delta, B.C., MX",earthquake,0.77,1.72,,6,reviewed,ci,ci
2015-04-04T13:21:17.000Z,36.1176,-97.5717,5.047,4.1,mwr,,,,0.76,us,us10001txk,2015-06-16T01:00:26.040Z,"18km N of Crescent, Oklahoma",earthquake,3.3,5.2,0.044,50,reviewed,tul,us
2015-03-30T09:21:56.690Z,34.7911667,-116.2611667,2.912,4.04,ml,45,61,0.07173,0.16,ci,ci37352384,2016-03-12T06:31:31.874Z,"12km NW of Ludlow, CA",earthquake,0.15,0.57,0.146,238,reviewed,ci,ci
2015-03-27T13:30:14.330Z,36.2271667,-120.3528333,10.44,4.11,mw,86,50,0.02352,0.1,nc,nc72418390,2016-03-11T13:32:05.065Z,"9km N of Coalinga, California",earthquake,0.15,0.27,,10,reviewed,nc,nc
2015-03-24T19:48:28.900Z,36.7776,-98.0301,6.513,4,ml,,62,,0.81,us,us10001qdg,2015-06-09T21:30:05.040Z,"26km W of Medford, Oklahoma",earthquake,2,6,,,reviewed,tul,tul
2015-02-18T09:04:11.550Z,47.2491667,-120.7526667,4.58,4.29,ml,40,38,0.05904,0.3,uw,uw60971201,2016-01-01T08:39:03.821Z,"15km ENE of Cle Elum, Washington",earthquake,0.37,0.79,0.182,198,reviewed,uw,uw
2015-02-14T02:28:56.228Z,37.1418,-117.2618,17.0047,4.8,ml,19,54.03,0.168,0.1919,nn,nn00482627,2016-03-11T15:19:59.098Z,"51km WNW of Beatty, Nevada",earthquake,1.7497,1.3063,,6,reviewed,nn,nn
2015-02-09T01:45:03.110Z,31.5236667,-115.6743333,12.503,4.89,mw,6,134,0.5093,0.15,ci,ci37314320,2016-03-11T04:30:52.175Z,"87km ESE of Maneadero, B.C., MX",earthquake,0.78,31.61,,6,reviewed,ci,ci
2015-02-05T15:08:40.800Z,36.8147,-98.2915,4.381,4.2,mwr,,115,,1.94,us,usc000tmeb,2015-05-04T22:47:41.040Z,"8km NE of Cherokee, Oklahoma",earthquake,2.8,4.1,0.035,80,reviewed,tul,us
2015-01-29T19:13:55.180Z,40.3113333,-124.5891667,17.98,4.25,mw,46,232,0.2309,0.16,nc,nc72388626,2016-03-12T00:51:34.802Z,"40km SW of Ferndale, California",earthquake,0.49,0.27,,11,reviewed,nc,nc
2015-01-29T11:03:19.351Z,41.8797,-119.6241,9.3628,4.2,ml,6,100.08,0.147,0.0976,nn,nn00479760,2015-05-02T14:06:12.040Z,"68km ESE of Lakeview, Oregon",earthquake,3.3615,4.6763,0.46,6,reviewed,nn,nn
2015-01-28T21:08:53.710Z,40.3178333,-124.6066667,17.17,5.73,mw,52,230,0.2465,0.13,nc,nc72387946,2016-01-07T06:15:00.388Z,"40km SW of Ferndale, California",earthquake,0.54,0.33,,14,reviewed,nc,nc
2015-01-27T15:58:40.100Z,36.6288,-97.7124,5,4,mwr,,71,,0.78,us,usb000tilr,2016-01-22T03:09:35.697Z,"19km S of Medford, Oklahoma",earthquake,2.1,5.9,0.043,52,reviewed,tul,us
2015-01-27T11:31:09.800Z,36.2618,-97.2643,3.408,4.2,mwr,,55,,0.95,us,usb000tike,2016-01-22T03:07:21.094Z,"3km SE of Perry, Oklahoma",earthquake,1.7,6,0.027,131,reviewed,tul,us
2015-01-26T19:30:44.700Z,36.8479,-97.7016,6.863,4.2,ml,,51,,0.67,us,usc000tj7a,2016-01-22T03:48:22.346Z,"5km NNE of Medford, Oklahoma",earthquake,3.3,6.2,,,reviewed,tul,tul
2015-01-22T09:09:16.708Z,41.8833,-119.6332,11.6954,4.48,ml,10,100.42,0.139,0.1541,nn,nn00478560,2015-04-24T16:54:59.040Z,"68km ESE of Lakeview, Oregon",earthquake,1.877,2.3053,0.33,9,reviewed,nn,nn
2015-01-20T13:21:36.970Z,36.4333333,-120.971,9.39,4.43,mw,98,58,0.03975,0.1,nc,nc72383481,2016-03-12T02:41:16.592Z,"27km ENE of Greenfield, California",earthquake,0.15,0.3,,6,reviewed,nc,nc
2015-01-19T18:56:08.000Z,31.4533,-114.398,8,4.2,md,,,,1.77,us,usc000th8p,2016-03-11T09:53:26.028Z,"67km NE of San Felipe, Mexico",earthquake,2.2,6.7,,12,reviewed,ecx,unm
2015-01-16T13:05:28.720Z,49.4297,-66.7949,18,4.1,mb,,,,0.82,us,usc000tgdg,2015-04-20T15:34:51.040Z,"37km NNW of Cap-Chat, Canada",earthquake,4.7,1.9,0.157,11,reviewed,ott,us
2015-01-14T10:44:35.040Z,40.3195,-124.6121667,16.62,4.28,mw,47,233,0.2507,0.12,nc,nc72381011,2016-03-12T06:25:36.359Z,"41km SW of Ferndale, California",earthquake,0.56,0.42,,9,reviewed,nc,nc
2015-01-04T09:56:43.280Z,41.883,-119.6218,10.205,4.1,mwr,,219,0.147,1.46,us,usc000tbkm,2015-03-27T07:01:42.040Z,"68km ESE of Lakeview, Oregon",earthquake,4.1,2.8,0.031,99,reviewed,nn,us
2015-01-04T03:18:09.480Z,34.6173333,-118.6301667,7.821,4.25,mw,106,46,,0.24,ci,ci37301704,2016-03-11T22:56:42.530Z,"14km N of Castaic, CA",earthquake,0.26,0.62,,6,reviewed,ci,ci
2015-01-03T17:44:03.530Z,44.5074,-114.112,8.5,5,mww,,10,0.123,1.37,us,usc000tbfq,2015-10-24T20:18:50.375Z,"9km E of Challis, Idaho",earthquake,4.4,3.3,,,reviewed,us,us
2014-12-24T05:51:51.440Z,33.1851667,-115.6085,1.387,4.19,mw,49,80,0.009735,0.2,ci,ci37298672,2016-03-11T22:56:08.786Z,"10km SW of Niland, CA",earthquake,0.34,0.54,,6,reviewed,ci,ci
2014-12-14T21:18:20.500Z,36.3187,-96.7553,4.679,4,mwr,,99,,0.47,us,usc000t6mn,2015-03-04T21:55:03.040Z,"4km ESE of Pawnee, Oklahoma",earthquake,2,5.7,0.04,61,reviewed,tul,us
2014-12-10T13:50:58.204Z,41.8773,-119.6316,8.8267,4.08,ml,4,76.82,0.143,0.1553,nn,nn00471401,2015-03-20T02:31:47.221Z,"71km ESE of Lakeview, Oregon",earthquake,6.7338,5.9253,0.26,4,reviewed,nn,nn
2014-12-04T05:24:52.034Z,41.8812,-119.6445,11.0282,4.16,ml,5,76.99,0.133,0.1169,nn,nn00486460,2016-03-22T21:53:42.517Z,"68km ESE of Lakeview, Oregon",earthquake,6.5835,4.9085,0.41,5,reviewed,nn,nn
2014-12-01T05:57:37.030Z,35.0423,-111.7276,5,4.7,mww,,23,0.555,0.99,us,usb000t1hf,2016-03-11T22:54:39.681Z,"6km SSW of Kachina Village, Arizona",earthquake,3.5,1.8,,,reviewed,us,us
2014-11-30T10:24:44.400Z,36.6028,-97.6068,5.684,4,mwr,,62,,0.8,us,usb000t1de,2015-02-24T00:35:13.040Z,"25km SSE of Medford, Oklahoma",earthquake,2.8,6.6,0.045,48,reviewed,tul,us
2014-11-21T17:20:28.220Z,41.8729,-119.611,3.3315,4.03,ml,7,76.62,0.159,0.1678,nn,nn00468854,2015-03-20T18:42:10.737Z,"70km ESE of Lakeview, Oregon",earthquake,4.3806,3.4474,0.29,4,reviewed,nn,nn
2014-11-20T06:26:49.290Z,36.806,-121.5358333,6.23,4.23,mw,143,22,0.03667,0.15,nc,nc72350156,2016-03-11T08:02:19.367Z,"4km S of San Juan Bautista, California",earthquake,0.1,0.22,,6,reviewed,nc,nc
2014-11-17T08:16:13.500Z,41.9278,-119.6276,1.5809,4.02,ml,8,79.41,0.503,0.198,nn,nn00468207,2015-03-20T18:42:06.347Z,"66km ESE of Lakeview, Oregon",earthquake,2.1173,2.8117,0.29,6,reviewed,nn,nn
2014-11-13T06:36:07.489Z,41.9009,-119.6224,0,4.59,ml,7,80.61,0.507,0.0742,nn,nn00467620,2015-03-20T00:54:44.736Z,"67km ESE of Lakeview, Oregon",earthquake,4.4006,3.3758,0.31,7,reviewed,nn,nn
2014-11-13T03:07:32.530Z,26.565,-111.8059,8.89,4.2,mb,,121,0.846,0.33,us,usc000swtz,2015-02-12T01:42:38.040Z,"39km SSE of Mulege, Mexico",earthquake,7.1,5.3,0.057,94,reviewed,us,us
2014-11-12T21:40:00.550Z,37.2713,-97.6206,4.03,4.9,mww,,31,0.135,0.23,us,usc000swru,2016-01-22T03:19:29.267Z,"13km S of Conway Springs, Kansas",earthquake,3.1,6.4,,,reviewed,us,us
2014-11-12T14:42:55.657Z,41.8812,-119.6545,1.5596,4.11,ml,6,76.98,0.483,0.1411,nn,nn00467446,2015-03-20T18:41:57.511Z,"66km ESE of Lakeview, Oregon",earthquake,6.6306,5.2861,0.41,4,reviewed,nn,nn
2014-11-10T08:42:42.850Z,32.8666667,-118.6535,5.12,4.11,mw,10,237,0.1441,0.18,ci,ci37286720,2016-03-12T04:30:44.681Z,"19km SSW of San Clemente Is. (NW tip), CA",earthquake,0.86,1.88,,6,reviewed,ci,ci
2014-11-07T22:04:26.760Z,26.3303,-110.7131,10,4,mb,,136,1.683,1.42,us,usc000sviv,2015-01-31T02:50:08.040Z,"72km ENE of Loreto, Mexico",earthquake,4.2,1.9,0.119,24,reviewed,us,us
2014-11-07T08:05:54.864Z,41.8805,-119.6299,0,4.68,ml,6,76.98,0.502,0.1903,nn,nn00466648,2015-03-20T00:36:24.055Z,"68km ESE of Lakeview, Oregon",earthquake,2.8477,,0.59,4,reviewed,nn,nn
2014-11-07T06:58:40.544Z,41.9137,-119.6021,0,4.14,ml,6,78.69,0.522,0.2174,nn,nn00466637,2015-01-31T02:50:07.040Z,"68km ESE of Lakeview, Oregon",earthquake,7.3062,,0.23,4,reviewed,nn,nn
2014-11-06T15:58:01.418Z,41.9055,-119.625,0.6022,4.21,ml,5,79.57,0.505,0.1208,nn,nn00466488,2015-01-31T02:50:05.040Z,"67km ESE of Lakeview, Oregon",earthquake,4.3947,5.627,0.18,4,reviewed,nn,nn
2014-11-06T08:34:46.519Z,41.9061,-119.6573,5.1853,4.72,ml,7,78.33,0.481,0.1662,nn,nn00466441,2015-03-20T00:30:44.832Z,"65km ESE of Lakeview, Oregon",earthquake,4.0816,6.7394,0.19,6,reviewed,nn,nn
